Estado;Estado;ID SIOE;Sigla;Designação;Tipologia de Entidade;Internacional;;;;;;;;;;;;;

Ativo;;300200000;CPES;Comissão de Programas Especiais de Segurança;;;;;;;;;;;;;;;

Ativo;;153000000;CPVC;Comissão de Proteção às Vítimas de Crimes;;;;;;;;;;;;;;;

Ativo;;875780391;CRESAP;Comissão de Recrutamento e Seleção para a Administração Pública;;;;;;;;;;;;;;;

Ativo;;;CNOC;Comissão Nacional de Objeção de Consciência;;;;;;;;;;;;;;;

Ativo;;;CNPC;Comissão Nacional de Proteção Civil;;;;;;;;;;;;;;;

Ativo;;875793019;CNPDPCJ;Comissão Nacional de Promoção dos Direitos e Proteção das Crianças e Jovens;AP#;;;;;;;;;;;;;;

Ativo;;800002002;CNPD;Comissão Nacional de Proteção de Dados;EAI#;;;;;;;;;;;;;;

Inativo;Inativo;;CEE;Comunidade Económica Europeia;;Sim;;;;;;;;;;;;;

Inativo;Inativo;;CE;Comunidade Europeia;;Sim;;;;;;;;;;;;;

Ativo;;;CCPFC;Conselho Científico-Pedagógico da Formação Contínua;;;;;;;;;;;;;;;

Ativo;;;CM;Conselho de Ministros;Gov#;;;;;;;;;;;;;;

Ativo;;800003367;CES;Conselho Económico e Social;;;;;;;;;;;;;;;

Ativo;;89280000;CNE;Conselho Nacional de Educação;;;;;;;;;;;;;;;

Ativo;;875780304;CNECV;Conselho Nacional de Ética para as Ciências da Vida;EAI#;;;;;;;;;;;;;;

Ativo;;875793282;CNPMA;Conselho Nacional de Procriação Medicamente Assistida;EAI#;;;;;;;;;;;;;;

Ativo;;875780378;CNPSSS;Conselho Nacional para as Políticas de Solidariedade, Voluntariado, Família, Reabilitação e Segurança Social;;;;;;;;;;;;;;;

Ativo;;800004000;CSM;Conselho Superior de Magistratura;OSJ#;;;;;;;;;;;;;;

Ativo;;770000439;CSTAF;Conselho Superior dos Tribunais Administrativos e Fiscais;OSJ#;;;;;;;;;;;;;;

Ativo;;;DRS-LVT;Delegado Regional de Saúde de Lisboa e Vale do Tejo;AP#;;;;;;;;;;;;;;

Ativo;;;DRS-Aln;Delegado Regional de Saúde do Alentejo;AP#;;;;;;;;;;;;;;

Ativo;;;DRS-Alg;Delegado Regional de Saúde do Algarve;AP#;;;;;;;;;;;;;;

Ativo;;;DRS-C;Delegado Regional de Saúde do Centro;AP#;;;;;;;;;;;;;;

Ativo;;;DRS-N;Delegado Regional de Saúde do Norte;AP#;;;;;;;;;;;;;;

Ativo;;32260000;DRAP-LVT;Direção Regional de Agricultura e Pescas de Lisboa e Vale do Tejo;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;32240000;DRAP-Aln;Direção Regional de Agricultura e Pescas do Alentejo;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;32250000;DRAP-Alg;Direção Regional de Agricultura e Pescas do Algarve;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;32400000;DRAP-C;Direção Regional de Agricultura e Pescas do Centro;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;32270000;DRAP-N;Direção Regional de Agricultura e Pescas do Norte;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;151500000;DGAJ;Direção-Geral da Administração da Justiça;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;54300000;DGAEP;Direção-Geral da Administração e do Emprego Público;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875791082;DGAM;Direção-Geral da Autoridade Marítima;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875780318;DGE;Direção-Geral da Educação;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;300220000;DGPJ;Direção-Geral da Política de Justiça;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875780331;INA;Direção-Geral da Qualificação dos Trabalhadores em Funções Públicas;AP#;;;;;;;;;;;;;;

Ativo;;141300000;DGS;Direção-Geral de Saúde;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;90220000;DGSS;Direção-Geral da Segurança Social;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;71210000;DGAE;Direção-Geral das Atividades Económicas;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;83080000;DGAL;Direção-Geral das Autarquias Locais;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;32160000;DGADR;Direção-Geral de Agricultura e Desenvolvimento Rural;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875780353;DGAV;Direção-Geral de Alimentação e Veterinária;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;71200000;DGEG;Direção-Geral de Energia e Geologia;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875780319;DGEEC;Direção-Geral de Estatísticas da Educação e Ciência;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;85040000;DGPDN;Direção-Geral de Política de Defesa Nacional;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;86040000;DGPE;Direção-Geral de Política Externa;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875793041;ADSE;Instituto de Proteção e Assistência na Doença, I.P.;;;;;;;;;;;;;;;

Ativo;;875792095;DGRDN;Direção-Geral de Recursos da Defesa Nacional;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875780332;DGRM;Direção-Geral de Recursos Naturais, Segurança e Serviços Marítimos;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875780381;DGRSP;Direção-Geral de Reinserção e Serviços Prisionais;"AP#
ACE#";;;;;;;;;;;;;;

