Aviso
CSN EN
Circular
Circular Informativa
Circular Normativa
Comunicação
DL
Decisão
Decisão-Quadro
Declaração de Retificação
Decreto
Decreto Legislativo Regional
Decreto Regulamentar
Decreto do Governo
Decreto do Presidente da República
Deliberação
Despacho
Despacho Conjunto
Despacho Normativo
Diretiva
Diretiva Técnica
Estatuto
ILAC
ISO
ISO/IEC
Instrução
Lei
Lei Constitucional
Lei Orgânica
NOP
NP
NP EN ISO
NP EN ISO/IEC
Ordem de Serviço
Portaria
Recomendação
Regulamento
Regulamento Delegado
Regulamento de Execução
Resolução
Resolução da Assembleia da República
Resolução do Conselho de Ministros
Tratado
